Rk,Team,Conf,Rec,Elo,Prev,Change,Last 3,Next Game
122,Utah,P12,0-0,1043,1043,0,0,Away Team
123,Stephen F. Austin,WAC,0-0,1043,1043,0,0,Away Team
124,Liberty,ASun,0-0,1042,1042,0,0,Away Team
125,Southern Illinois,MVC,0-0,1041,1041,0,0,Away Team
126,Akron,MAC,0-0,1040,1040,0,0,Away Team
127,Louisville,ACC,0-0,1040,1040,0,0,Away Team
128,N.C. State,ACC,0-0,1039,1039,0,0,Away Team
129,Florida Atlantic,CUSA,0-0,1039,1039,0,0,Away Team
130,Buffalo,MAC,0-0,1037,1037,0,0,Away Team
131,Abilene Christian,WAC,0-0,1037,1037,0,0,Away Team
132,Rhode Island,A10,0-0,1036,1036,0,0,Away Team
133,UC Irvine,BW,0-0,1035,1035,0,0,Away Team
134,Ohio,MAC,0-0,1034,1034,0,0,Away Team
135,UC Santa Barbara,BW,0-0,1034,1034,0,0,Away Team
136,Texas St.,SB,0-0,1034,1034,0,0,Away Team
137,Missouri,SEC,0-0,1033,1033,0,0,Away Team
138,Montana St.,BSky,0-0,1032,1032,0,0,Away Team
139,Seattle,WAC,0-0,1032,1032,0,0,Away Team
140,Nebraska,B10,0-0,1031,1031,0,0,Away Team
141,Delaware,CAA,0-0,1029,1029,0,0,Away Team
142,California,P12,0-0,1026,1026,0,0,Away Team
143,Sam Houston St.,WAC,0-0,1025,1025,0,0,Away Team
144,Charleston,CAA,0-0,1025,1025,0,0,Away Team
